,REF_NO,PCE_AVERAGE,PCE_MAX,VOC,FF
30,196,5.57875,6.21,"[2.0, 0.8, 1.0, 0.86, 2.0, 0.8, 0.8, 0.3, 0.8, 0.83]","[65.1, 65.1, 65.1, 55.77]"
31,2,3.6,3.6,"[0.91, 1.26, 0.78, 1.09, 0.9, 0.89, 0.9, 0.11, 0.42]",[0.63]
32,200,6.514,7.73,"[0.76, 0.82, 0.2, 0.7, 0.12, 0.74, 0.76, 0.41, 0.76, 0.76, 0.16, 0.06, 0.76]",[58.0]
33,204,4.292,5.4,"[0.76, 4.0, 4.0, 4.71, 4.71, 4.0, 2.0, 2.0, 0.76, 4.0]",[0.59]
34,205,5.66,5.66,"[0.92, 0.84]",[0.49]
35,208,3.675,4.89,"[0.87, 0.84, 2.0, 0.87, 2.0, 0.87, 0.87]","[56.0, 49.8, 49.8, 49.8]"
36,21,1.1066666666666667,2.1,"[0.4, 0.41, 0.4]",[29.0]
37,212,2.8899999999999992,2.92,"[0.85, 0.89, 0.6, 0.092, 0.88, 60.0, 80.0, 0.85, 0.89]","[0.44, 0.48, 0.48]"
38,214,3.6983333333333337,4.71,"[0.87, 0.63, 0.96, 0.87, 0.9, 0.93, 0.87]","[0.56, 4.71, 59.0]"
39,215,6.3525,7.02,"[0.82, 0.98, 0.85, 0.82, 0.82, 47.0]","[7.02, 47.16, 65.28, 65.28]"
40,22,,,"[-1.49, 80.0, 20.0, 0.68, 0.68, 0.65]","[0.67, 0.6]"
41,228,2.25,2.25,"[50.0, 0.62, 0.59, 30.0, 90.0, 60.0, 30.0]","[0.58, 0.58]"
