,0,1,2,V OC (V),J SC (mA/cm-2),FF (%),PCE (%)
391_3_14,P2,,,0.68,9.94,52.76,3.58
391_3_15,P2,,,0.68,9.42,52.20,3.35
391_3_16,P2,,,0.68,8.78,48.74,2.90
391_3_17,xP2,,,0.68,9.41,51.76,3.34
391_3_18,P2,,,0.68,8.92,50.08,3.03
391_3_19,P2,,,0.68,8.47,49.18,2.83
392_1_0,1:1,,,0.92,4.34,0.42,1.65
392_1_1,1:2,,,0.91,5.00,0.50,2.31
392_1_2,1:3,,,0.92,6.21,0.58,3.32
392_1_3,1:4,,,0.90,4.91,0.59,2.60
423_2_0,PIDTBDTID,,,0.87,7.24,42.0,2.66 (2.51)
423_2_1,PIDTBDT(ID)2 ,,,0.93,6.34,42.3,2.50 (2.33)
458_0_0,"(v/v,%)",,,(V),(mAcm−2),(%),(%)
458_0_1,w/o,,,0.99,5.8 (5.6),43.7,2.5 (2.4)
458_0_2,1,,,0.96,6.0 (5.9),58.0,3.3 (3.2)
458_0_3,3,,,0.96,10.3 (9.8),76.7,7.6 (7.4)
458_0_4,3,,,0.96,10.9 (10.5),76.7,8.1 (7.9)
458_0_5,3,,,0.96,11.0 (10.4),74.9,7.9 (7.8)
458_0_6,3,,,0.95,11.2 (11.2),72.5,7.7 (7.5)
458_0_7,5,,,0.96,10.4 (9.9),74.6,7.4 (7.3)
458_1_0,(V),,,(V),(mAcm−2),(%),(%)
458_1_1,w/o,,,1.01,9.3 (8.9),62.1,5.8 (5.7)
458_1_2,1,,,1.02,13.2 (12.3),67.2,9.1 (9.0)
458_1_3,1.5,,,1.01,14.1 (14.0),72.3,10.3 (10.1)
458_1_4,2,,,1.01,13.5 (13.2),61.1,8.4 (8.3)
463_2_0,PDTfBO-T,,,,,1 × 106 ,
463_2_1,PDTfBO-DT,,,,,1 × 106 ,
463_2_2,PDTfBO-TT,,,,,1 × 105 ,
463_3_0,PDTfBO-T,,,0.91,7.13,74.5,4.83 (4.78)
463_3_1,PDTfBO-DT,,,0.92,4.69,66.1,2.85 (2.82)
463_3_2,PDTfBO-TT,,,0.88,7.63,75.4,5.07 (4.97)
463_3_3,PDTfBO-T,,,0.93,11.1,54.3,5.63 (5.56)
463_3_4,PDTfBO-DT,,,0.89,10.3,61.0,5.61 (5.49)
463_3_5,PDTfBO-TT,,,0.87,9.69,66.4,5.60 (5.35)
464_1_0,poly(DPP-alt-BP),,,,,106 ,
464_1_1,200 °C,,,,,106 ,
464_1_2,poly(DPP-alt-BT),,,,,106 ,
464_1_3,200 °C,,,,,105 ,
464_1_4,poly(DPP4T-alt-TBP),,,,,105 ,
464_1_5,200 °C,,,,,105 ,
464_2_0,poly(DPP-alt-BP),,,0.75,7.25,36.2,1.97
464_2_1,poly(DPP-alt-BT),,,0.63,9.83,52.0,3.21
464_2_2,poly(DPP4T-alt-TBP),,,0.71,10.08,63.3,4.54
465_1_0,PBDT-DTQ,,,0.70,9.89,49.70,3.50
465_1_1,PBDT-DTQ,,,0.67,10.37,55.47,3.84
465_1_2,PIDT-DTQ,,,0.83,11.24,61.55,5.77
465_1_3,PIDT-DTQ,,,0.86,11.42,65.77,6.41
466_1_0, P8 ,,,0.72,13.13,58.1,5.48
466_1_1, P8 ,,,0.73,12.39,59.4,5.40
466_1_2, P8 ,,,0.72,10.63,57.3,4.46
466_1_3, P8 ,,,0.74,15.26,58.1,6.58
466_1_4, P8 ,,,0.73,14.76,62.1,6.73
466_1_5, P8 ,,,0.76,11.33,66.2,5.67
466_1_6, P9 ,,,0.75,4.46,47.6,1.58
466_1_7, P9 ,,,0.74,4.62,55.6,1.89
466_1_8, P9 ,,,0.73,4.71,57.9,2.00
466_1_9, P9 ,,,0.74,13.34,64.1,6.36
466_1_10, P9 ,,,0.75,13.50,64.7,6.50
466_1_11, P9 ,,,0.75,14.15,64.6,6.84
467_2_0, r-PTTDPP50:PC61BM (1:2),,,0.683,5.12,39.1,1.36
467_2_1, r-PTTDPP75:PC61BM (1:2),,,0.502,1.52,35.5,0.27
467_2_2, r-PTTDPP50:PC71BM (1:2),,,0.606,8.65,36.6,1.92
467_2_3, r-PTTDPP50:PC71BM (1:2) a ,,,0.632,9.81,37.4,2.32
467_2_4,P3HT:PC61BM (1:1),,,0.605,7.91,62.1,2.97
467_2_5, r-PTTDPP50:P3HT:PC61BM (0.1:0.9:1),,,0.637,9.36,64.6,3.85
467_2_6, r-PTTDPP50:P3HT:PC61BM (0.2:0.8:1),,,0.615,8.50,65.5,3.43
467_2_7, r-PTTDPP50:P3HT:PC61BM (0.5:0.5:1),,,0.608,7.72,60.2,2.83
468_0_0,CF only,,,0.71,8.28,62,3.61
468_0_1,CF:DCB = 1:0.5,,,0.69,11.24,62,4.76
468_0_2,CF:DCB = 1:1,,,0.72,11.79,65,5.55
468_0_3,CF:DCB = 1:2,,,0.73,8.73,52,3.35
468_0_4,CF:DCB = 1:1(PC71BM),,,0.71,12.93,61,5.52
469_0_0,PIIDBT,,,,,"765, a 788 b ",
469_0_1,PIIDFBT,,,,,"771, a 771 b ",
469_1_0, T annealing (°C),,,Additive, V oc (V), V th (V), FF (%)
469_1_1,PIIDBT,,,0% CN,0.87,0,57.68
469_1_2,200,,,2% CN,0.87,−3,61.91
469_1_3,PIIDFBT,,,0% CN,1.01,−10,69.61
469_1_4,200,,,2% CN,1.01,−11,67.22
470_4_0,PHBCDPPC20,,,,,8.5 × 104 ,
470_4_1,PHBCDPPC8,,,,,1.2 × 104 ,
470_4_2,PHBCDPPF,,,,,105 ,
470_4_3,PHBCDPPDT,,,,,106 ,
470_5_0,PHBCDPPC20,,,0.92,6.53,35.3,2.12
470_5_1,PHBCDPPC8,,,0.88,7.67,34.4,2.32
470_5_2,PHBCDPPC8,,,0.86,10.38,31.8,2.85
470_5_3,PHBCDPPF,,,0.88,6.39,33.6,1.89
470_5_4,PHBCDPPDT,,,0.84,8.49,38.6,2.74
470_5_5,PHBCDPPDT,,,0.79,10.5,33.1,2.74
471_2_0, P2:PC71BM a ,,,0.78,10.86,0.55,4.66
471_2_1, P2:PC71BM b ,,,0.72,14.12,0.71,7.22
